Speccode,Species,Population,Season,Area,Propn.adults,Propn.immatures
KI,Black-legged Kittiwake,Russia,spring migration (January to April),UK western waters and Channel,0.05,0.1
KI,Black-legged Kittiwake,Shiant Isles,autumn migration (August to December),UK North Sea waters,0.01,0.05
KI,Black-legged Kittiwake,Shiant Isles,autumn migration (August to December),UK western waters and Channel,0.6,0.4
KI,Black-legged Kittiwake,Shiant Isles,spring migration (January to April),UK North Sea waters,0.01,0.02
KI,Black-legged Kittiwake,Shiant Isles,spring migration (January to April),UK western waters and Channel,0.8,0.4
KI,Black-legged Kittiwake,Skomer; Skokholm; Middleholm,autumn migration (August to December),UK North Sea waters,0.01,0.05
KI,Black-legged Kittiwake,Skomer; Skokholm; Middleholm,autumn migration (August to December),UK western waters and Channel,0.6,0.4
KI,Black-legged Kittiwake,Skomer; Skokholm; Middleholm,spring migration (January to April),UK North Sea waters,0.01,0.02
KI,Black-legged Kittiwake,Skomer; Skokholm; Middleholm,spring migration (January to April),UK western waters and Channel,0.8,0.4
KI,Black-legged Kittiwake,St Abbs Head to Fast Castle,autumn migration (August to December),UK North Sea waters,0.6,0.4
KI,Black-legged Kittiwake,St Abbs Head to Fast Castle,autumn migration (August to December),UK western waters and Channel,0.2,0.2
KI,Black-legged Kittiwake,St Abbs Head to Fast Castle,spring migration (January to April),UK North Sea waters,0.6,0.3
KI,Black-legged Kittiwake,St Abbs Head to Fast Castle,spring migration (January to April),UK western waters and Channel,0.3,0.2
KI,Black-legged Kittiwake,St Kilda,autumn migration (August to December),UK North Sea waters,0.01,0.05
KI,Black-legged Kittiwake,St Kilda,autumn migration (August to December),UK western waters and Channel,0.6,0.4
KI,Black-legged Kittiwake,St Kilda,spring migration (January to April),UK North Sea waters,0.01,0.02
KI,Black-legged Kittiwake,St Kilda,spring migration (January to April),UK western waters and Channel,0.8,0.4
KI,Black-legged Kittiwake,Sumburgh Head,autumn migration (August to December),UK North Sea waters,0.6,0.4
KI,Black-legged Kittiwake,Sumburgh Head,autumn migration (August to December),UK western waters and Channel,0.2,0.2
KI,Black-legged Kittiwake,Sumburgh Head,spring migration (January to April),UK North Sea waters,0.6,0.3
KI,Black-legged Kittiwake,Sumburgh Head,spring migration (January to April),UK western waters and Channel,0.3,0.2
KI,Black-legged Kittiwake,Troup; Pennan and  Lions Heads,autumn migration (August to December),UK North Sea waters,0.6,0.4
KI,Black-legged Kittiwake,Troup; Pennan and  Lions Heads,autumn migration (August to December),UK western waters and Channel,0.2,0.2
KI,Black-legged Kittiwake,Troup; Pennan and  Lions Heads,spring migration (January to April),UK North Sea waters,0.6,0.3
KI,Black-legged Kittiwake,Troup; Pennan and  Lions Heads,spring migration (January to April),UK western waters and Channel,0.3,0.2
KI,Black-legged Kittiwake,UK North Sea non-SPA colonies,autumn migration (August to December),UK North Sea waters,0.6,0.4
KI,Black-legged Kittiwake,UK North Sea non-SPA colonies,autumn migration (August to December),UK western waters and Channel,0.2,0.2
KI,Black-legged Kittiwake,UK North Sea non-SPA colonies,spring migration (January to April),UK North Sea waters,0.6,0.3
KI,Black-legged Kittiwake,UK North Sea non-SPA colonies,spring migration (January to April),UK western waters and Channel,0.3,0.2
KI,Black-legged Kittiwake,UK Western non-SPA colonies,autumn migration (August to December),UK North Sea waters,0.01,0.05
KI,Black-legged Kittiwake,UK Western non-SPA colonies,autumn migration (August to December),UK western waters and Channel,0.6,0.4
KI,Black-legged Kittiwake,UK Western non-SPA colonies,spring migration (January to April),UK North Sea waters,0.01,0.02
KI,Black-legged Kittiwake,UK Western non-SPA colonies,spring migration (January to April),UK western waters and Channel,0.8,0.4
KI,Black-legged Kittiwake,West Westray,autumn migration (August to December),UK North Sea waters,0.6,0.4
KI,Black-legged Kittiwake,West Westray,autumn migration (August to December),UK western waters and Channel,0.2,0.2
KI,Black-legged Kittiwake,West Westray,spring migration (January to April),UK North Sea waters,0.6,0.3
KI,Black-legged Kittiwake,West Westray,spring migration (January to April),UK western waters and Channel,0.3,0.2
GU,Common Guillemot,Ailsa Craig SPA,non-breeding season (August to February),UK North Sea and Channel waters,0,0.05
GU,Common Guillemot,Ailsa Craig SPA,non-breeding season (August to February),UK western waters,1,0.95
GU,Common Guillemot,Buchan Ness to Collieston Coast SPA,non-breeding season (August to February),UK North Sea and Channel waters,0.8,0.7
GU,Common Guillemot,Buchan Ness to Collieston Coast SPA,non-breeding season (August to February),UK western waters,0,0
GU,Common Guillemot,Calf of Eday SPA,non-breeding season (August to February),UK North Sea and Channel waters,0.7,0.6
GU,Common Guillemot,Calf of Eday SPA,non-breeding season (August to February),UK western waters,0.02,0.05
GU,Common Guillemot,Canna and  Sanday SPA,non-breeding season (August to February),UK North Sea and Channel waters,0.05,0.1
GU,Common Guillemot,Canna and  Sanday SPA,non-breeding season (August to February),UK western waters,0.95,0.9
GU,Common Guillemot,Cape Wrath SPA,non-breeding season (August to February),UK North Sea and Channel waters,0.05,0.1
GU,Common Guillemot,Cape Wrath SPA,non-breeding season (August to February),UK western waters,0.95,0.9
GU,Common Guillemot,Copinsay SPA,non-breeding season (August to February),UK North Sea and Channel waters,0.7,0.6
GU,Common Guillemot,Copinsay SPA,non-breeding season (August to February),UK western waters,0.02,0.05
GU,Common Guillemot,East Caithness Cliffs SPA,non-breeding season (August to February),UK North Sea and Channel waters,0.7,0.6
GU,Common Guillemot,East Caithness Cliffs SPA,non-breeding season (August to February),UK western waters,0,0
GU,Common Guillemot,Fair Isle SPA,non-breeding season (August to February),UK North Sea and Channel waters,0.7,0.6
GU,Common Guillemot,Fair Isle SPA,non-breeding season (August to February),UK western waters,0.02,0.05
GU,Common Guillemot,Farne Islands SPA,non-breeding season (August to February),UK North Sea and Channel waters,0.9,0.8
GU,Common Guillemot,Farne Islands SPA,non-breeding season (August to February),UK western waters,0,0
GU,Common Guillemot,Faroe Islands,non-breeding season (August to February),UK North Sea and Channel waters,0.1,0.2
GU,Common Guillemot,Faroe Islands,non-breeding season (August to February),UK western waters,0.05,0.1
GU,Common Guillemot,Flamborough and Filey Coast pSPA,non-breeding season (August to February),UK North Sea and Channel waters,0.9,0.8
GU,Common Guillemot,Flamborough and Filey Coast pSPA,non-breeding season (August to February),UK western waters,0,0
GU,Common Guillemot,Flannan Isles SPA,non-breeding season (August to February),UK North Sea and Channel waters,0.05,0.1
GU,Common Guillemot,Flannan Isles SPA,non-breeding season (August to February),UK western waters,0.95,0.9
GU,Common Guillemot,Forth Islands SPA,non-breeding season (August to February),UK North Sea and Channel waters,0.9,0.8
GU,Common Guillemot,Forth Islands SPA,non-breeding season (August to February),UK western waters,0,0
GU,Common Guillemot,Foula SPA,non-breeding season (August to February),UK North Sea and Channel waters,0.7,0.6
GU,Common Guillemot,Foula SPA,non-breeding season (August to February),UK western waters,0.02,0.05
GU,Common Guillemot,Fowlsheugh SPA,non-breeding season (August to February),UK North Sea and Channel waters,0.8,0.7
GU,Common Guillemot,Fowlsheugh SPA,non-breeding season (August to February),UK western waters,0,0
GU,Common Guillemot,Germany and Denmark,non-breeding season (August to February),UK North Sea and Channel waters,0.2,0.4
GU,Common Guillemot,Germany and Denmark,non-breeding season (August to February),UK western waters,0,0
GU,Common Guillemot,Handa SPA,non-breeding season (August to February),UK North Sea and Channel waters,0.05,0.1
GU,Common Guillemot,Handa SPA,non-breeding season (August to February),UK western waters,0.95,0.9
GU,Common Guillemot,Hermaness; Saxavord and  Valla Field SPA,non-breeding season (August to February),UK North Sea and Channel waters,0.7,0.6
GU,Common Guillemot,Hermaness; Saxavord and  Valla Field SPA,non-breeding season (August to February),UK western waters,0.02,0.05
GU,Common Guillemot,Hoy SPA,non-breeding season (August to February),UK North Sea and Channel waters,0.7,0.6
GU,Common Guillemot,Hoy SPA,non-breeding season (August to February),UK western waters,0.02,0.05
GU,Common Guillemot,Marwick Head SPA,non-breeding season (August to February),UK North Sea and Channel waters,0.7,0.6
GU,Common Guillemot,Marwick Head SPA,non-breeding season (August to February),UK western waters,0.02,0.05
GU,Common Guillemot,Mingulay and  Berneray SPA,non-breeding season (August to February),UK North Sea and Channel waters,0.05,0.1
GU,Common Guillemot,Mingulay and  Berneray SPA,non-breeding season (August to February),UK western waters,0.95,0.9
GU,Common Guillemot,North Caithness Cliffs SPA,non-breeding season (August to February),UK North Sea and Channel waters,0.7,0.6
GU,Common Guillemot,North Caithness Cliffs SPA,non-breeding season (August to February),UK western waters,0.02,0.05
GU,Common Guillemot,North Colonsay and western cliffs SPA,non-breeding season (August to February),UK North Sea and Channel waters,0,0.05
GU,Common Guillemot,North Colonsay and western cliffs SPA,non-breeding season (August to February),UK western waters,1,0.95
GU,Common Guillemot,North Rona and  Sula Sgeir SPA,non-breeding season (August to February),UK North Sea and Channel waters,0.05,0.1
GU,Common Guillemot,North Rona and  Sula Sgeir SPA,non-breeding season (August to February),UK western waters,0.95,0.9
GU,Common Guillemot,North Sea UK non-SPA populations,non-breeding season (August to February),UK western waters,0.01,0.02
GU,Common Guillemot,Norway,non-breeding season (August to February),UK North Sea and Channel waters,0.05,0.2
GU,Common Guillemot,Norway,non-breeding season (August to February),UK western waters,0.01,0.05
GU,Common Guillemot,Noss SPA,non-breeding season (August to February),UK North Sea and Channel waters,0.7,0.6
GU,Common Guillemot,Noss SPA,non-breeding season (August to February),UK western waters,0.02,0.05
GU,Common Guillemot,Rathlin Island SPA,non-breeding season (August to February),UK North Sea and Channel waters,0,0.05
GU,Common Guillemot,Rathlin Island SPA,non-breeding season (August to February),UK western waters,1,0.95
GU,Common Guillemot,Rousay SPA,non-breeding season (August to February),UK North Sea and Channel waters,0.7,0.6
GU,Common Guillemot,Rousay SPA,non-breeding season (August to February),UK western waters,0.02,0.05
GU,Common Guillemot,Rum SPA,non-breeding season (August to February),UK North Sea and Channel waters,0.05,0.1
GU,Common Guillemot,Rum SPA,non-breeding season (August to February),UK western waters,0.95,0.9
GU,Common Guillemot,Shiant Isles SPA,non-breeding season (August to February),UK North Sea and Channel waters,0.05,0.1
GU,Common Guillemot,Shiant Isles SPA,non-breeding season (August to February),UK western waters,0.95,0.9
GU,Common Guillemot,Skomer and  Skokholm SPA,non-breeding season (August to February),UK North Sea and Channel waters,0.05,0.1
GU,Common Guillemot,Skomer and  Skokholm SPA,non-breeding season (August to February),UK western waters,0.9,0.8
GU,Common Guillemot,St Abbs Head to Fast Castle SPA,non-breeding season (August to February),UK North Sea and Channel waters,0.9,0.8
GU,Common Guillemot,St Abbs Head to Fast Castle SPA,non-breeding season (August to February),UK western waters,0,0
GU,Common Guillemot,St Kilda SPA,non-breeding season (August to February),UK North Sea and Channel waters,0.05,0.1
GU,Common Guillemot,St Kilda SPA,non-breeding season (August to February),UK western waters,0.95,0.9
GU,Common Guillemot,Sule Skerry and  Sule Stack SPA,non-breeding season (August to February),UK North Sea and Channel waters,0.05,0.1
GU,Common Guillemot,Sule Skerry and  Sule Stack SPA,non-breeding season (August to February),UK western waters,0.95,0.9
GU,Common Guillemot,Sumburgh SPA,non-breeding season (August to February),UK North Sea and Channel waters,0.7,0.6
GU,Common Guillemot,Sumburgh SPA,non-breeding season (August to February),UK western waters,0.02,0.05
GU,Common Guillemot,Troup; Pennan and  Lions Heads SPS,non-breeding season (August to February),UK North Sea and Channel waters,0.7,0.6
GU,Common Guillemot,Troup; Pennan and  Lions Heads SPS,non-breeding season (August to February),UK western waters,0,0
GU,Common Guillemot,UK North Sea non-SPA populations,non-breeding season (August to February),UK North Sea and Channel waters,0.8,0.6
GU,Common Guillemot,UK West coast non-SPA populations,non-breeding season (August to February),UK North Sea and Channel waters,0.03,0.08
GU,Common Guillemot,West coast UK non-SPA populations,non-breeding season (August to February),UK western waters,0.95,0.9
GU,Common Guillemot,West Westray SPA,non-breeding season (August to February),UK North Sea and Channel waters,0.7,0.6
GU,Common Guillemot,West Westray SPA,non-breeding season (August to February),UK western waters,0.02,0.05
CN,Common Tern,Baltic States,migration seasons (late July-early September and April-May),UK North Sea and Channel waters,0.3,0.3
CN,Common Tern,Baltic States,migration seasons (late July-early September and April-May),UK western waters,0.1,0.1
CN,Common Tern,Breydon Water,migration seasons (late July-early September and April-May),UK North Sea and Channel waters,0.7,0.5
CN,Common Tern,Breydon Water,migration seasons (late July-early September and April-May),UK western waters,0.3,0.2
CN,Common Tern,Carlingford Lough,migration seasons (late July-early September and April-May),UK North Sea and Channel waters,0.1,0.1
CN,Common Tern,Carlingford Lough,migration seasons (late July-early September and April-May),UK western waters,0.9,0.6
CN,Common Tern,Coquet Island,migration seasons (late July-early September and April-May),UK North Sea and Channel waters,0.7,0.5
CN,Common Tern,Coquet Island,migration seasons (late July-early September and April-May),UK western waters,0.3,0.2
CN,Common Tern,Cromarty Firth,migration seasons (late July-early September and April-May),UK North Sea and Channel waters,0.7,0.5
CN,Common Tern,Cromarty Firth,migration seasons (late July-early September and April-May),UK western waters,0.3,0.2
CN,Common Tern,Dungeness to Pett Level,migration seasons (late July-early September and April-May),UK North Sea and Channel waters,0.7,0.5
CN,Common Tern,Dungeness to Pett Level,migration seasons (late July-early September and April-May),UK western waters,0.3,0.2
CN,Common Tern,Farne Islands,migration seasons (late July-early September and April-May),UK North Sea and Channel waters,0.7,0.5
CN,Common Tern,Farne Islands,migration seasons (late July-early September and April-May),UK western waters,0.3,0.2
CN,Common Tern,Finland,migration seasons (late July-early September and April-May),UK North Sea and Channel waters,0.3,0.3
CN,Common Tern,Finland,migration seasons (late July-early September and April-May),UK western waters,0.1,0.1
CN,Common Tern,Forth Islands,migration seasons (late July-early September and April-May),UK North Sea and Channel waters,0.7,0.5
CN,Common Tern,Forth Islands,migration seasons (late July-early September and April-May),UK western waters,0.3,0.2
CN,Common Tern,Foulness,migration seasons (late July-early September and April-May),UK North Sea and Channel waters,0.7,0.5
CN,Common Tern,Foulness,migration seasons (late July-early September and April-May),UK western waters,0.3,0.2
CN,Common Tern,Germany and  Denmark,migration seasons (late July-early September and April-May),UK North Sea and Channel waters,0.25,0.25
CN,Common Tern,Germany and  Denmark,migration seasons (late July-early September and April-May),UK western waters,0.1,0.1
CN,Common Tern,Glas Eileanan,migration seasons (late July-early September and April-May),UK North Sea and Channel waters,0.1,0.1
CN,Common Tern,Glas Eileanan,migration seasons (late July-early September and April-May),UK western waters,0.9,0.6
CN,Common Tern,Imperial Dock Lock,migration seasons (late July-early September and April-May),UK North Sea and Channel waters,0.7,0.5
CN,Common Tern,Imperial Dock Lock,migration seasons (late July-early September and April-May),UK western waters,0.3,0.2
CN,Common Tern,Inner Moray Firth,migration seasons (late July-early September and April-May),UK North Sea and Channel waters,0.7,0.5
CN,Common Tern,Inner Moray Firth,migration seasons (late July-early September and April-May),UK western waters,0.3,0.2
CN,Common Tern,Ireland,migration seasons (late July-early September and April-May),UK North Sea and Channel waters,0.2,0.2
CN,Common Tern,Ireland,migration seasons (late July-early September and April-May),UK western waters,0.4,0.4
CN,Common Tern,Larne Lough,migration seasons (late July-early September and April-May),UK North Sea and Channel waters,0.1,0.1
CN,Common Tern,Larne Lough,migration seasons (late July-early September and April-May),UK western waters,0.9,0.6
CN,Common Tern,Lough Neagh and  Lough Beg,migration seasons (late July-early September and April-May),UK North Sea and Channel waters,0.1,0.1
CN,Common Tern,Lough Neagh and  Lough Beg,migration seasons (late July-early September and April-May),UK western waters,0.9,0.6
CN,Common Tern,Netherlands,migration seasons (late July-early September and April-May),UK North Sea and Channel waters,0.25,0.25
CN,Common Tern,Netherlands,migration seasons (late July-early September and April-May),UK western waters,0.05,0.05
CN,Common Tern,North Norfolk Coast,migration seasons (late July-early September and April-May),UK North Sea and Channel waters,0.7,0.5
CN,Common Tern,North Norfolk Coast,migration seasons (late July-early September and April-May),UK western waters,0.3,0.2
CN,Common Tern,Norway,migration seasons (late July-early September and April-May),UK North Sea and Channel waters,0.3,0.3
CN,Common Tern,Norway,migration seasons (late July-early September and April-May),UK western waters,0.2,0.2
CN,Common Tern,Poole Harbour,migration seasons (late July-early September and April-May),UK North Sea and Channel waters,0.7,0.5
CN,Common Tern,Poole Harbour,migration seasons (late July-early September and April-May),UK western waters,0.3,0.2
CN,Common Tern,Ribble and  Alt Estuaries,migration seasons (late July-early September and April-May),UK North Sea and Channel waters,0.1,0.1
CN,Common Tern,Ribble and  Alt Estuaries,migration seasons (late July-early September and April-May),UK western waters,0.9,0.6
CN,Common Tern,Solent and  Southampton Water,migration seasons (late July-early September and April-May),UK North Sea and Channel waters,0.7,0.5
CN,Common Tern,Solent and  Southampton Water,migration seasons (late July-early September and April-May),UK western waters,0.3,0.2
CN,Common Tern,Strangford Lough,migration seasons (late July-early September and April-May),UK North Sea and Channel waters,0.1,0.1
CN,Common Tern,Strangford Lough,migration seasons (late July-early September and April-May),UK western waters,0.9,0.6
CN,Common Tern,Sweden,migration seasons (late July-early September and April-May),UK North Sea and Channel waters,0.3,0.3
CN,Common Tern,Sweden,migration seasons (late July-early September and April-May),UK western waters,0.1,0.1
CN,Common Tern,The Dee Estuary,migration seasons (late July-early September and April-May),UK North Sea and Channel waters,0.1,0.1
CN,Common Tern,The Dee Estuary,migration seasons (late July-early September and April-May),UK western waters,0.9,0.6
CN,Common Tern,The Wash,migration seasons (late July-early September and April-May),UK North Sea and Channel waters,0.7,0.5
CN,Common Tern,The Wash,migration seasons (late July-early September and April-May),UK western waters,0.3,0.2
CN,Common Tern,UK North Sea non-SPA colonies,migration seasons (late July-early September and April-May),UK North Sea and Channel waters,0.7,0.5
CN,Common Tern,UK North Sea non-SPA colonies,migration seasons (late July-early September and April-May),UK western waters,0.3,0.2
CN,Common Tern,UK western non-SPA colonies,migration seasons (late July-early September and April-May),UK North Sea and Channel waters,0.1,0.1
CN,Common Tern,UK western non-SPA colonies,migration seasons (late July-early September and April-May),UK western waters,0.9,0.6
CN,Common Tern,Ynys Feurig; Cemlyn Bay and  Skerries,migration seasons (late July-early September and April-May),UK North Sea and Channel waters,0.1,0.1
CN,Common Tern,Ynys Feurig; Cemlyn Bay and  Skerries,migration seasons (late July-early September and April-May),UK western waters,0.9,0.6
CN,Common Tern,Ythan Estuary; Sands of Forvie,migration seasons (late July-early September and April-May),UK North Sea and Channel waters,0.7,0.5
CN,Common Tern,Ythan Estuary; Sands of Forvie,migration seasons (late July-early September and April-May),UK western waters,0.3,0.2
SA,European Shag,Buchan Ness to Collieston,non-breeding season (September to January),UK NW North Sea,1,1
SA,European Shag,Buchan Ness to Collieston,non-breeding season (September to January),UK SW North Sea and Channel waters,0,0
SA,European Shag,Buchan Ness to Collieston,non-breeding season (September to January),UK Wales and SW England waters,0,0
SA,European Shag,Buchan Ness to Collieston,non-breeding season (September to January),UK West of Scotland waters,0,0
SA,European Shag,Canna and  Sanday,non-breeding season (September to January),UK NW North Sea,0,0
SA,European Shag,Canna and  Sanday,non-breeding season (September to January),UK SW North Sea and Channel waters,0,0
SA,European Shag,Canna and  Sanday,non-breeding season (September to January),UK Wales and SW England waters,0,0
SA,European Shag,Canna and  Sanday,non-breeding season (September to January),UK West of Scotland waters,1,1
SA,European Shag,East Caithness Cliffs,non-breeding season (September to January),UK NW North Sea,1,1
SA,European Shag,East Caithness Cliffs,non-breeding season (September to January),UK SW North Sea and Channel waters,0,0
SA,European Shag,East Caithness Cliffs,non-breeding season (September to January),UK Wales and SW England waters,0,0
SA,European Shag,East Caithness Cliffs,non-breeding season (September to January),UK West of Scotland waters,0,0
SA,European Shag,Fair Isle,non-breeding season (September to January),UK NW North Sea,1,1
SA,European Shag,Fair Isle,non-breeding season (September to January),UK SW North Sea and Channel waters,0,0
SA,European Shag,Fair Isle,non-breeding season (September to January),UK Wales and SW England waters,0,0
SA,European Shag,Fair Isle,non-breeding season (September to January),UK West of Scotland waters,0,0
SA,European Shag,Farne Islands,non-breeding season (September to January),UK NW North Sea,0.3,0.4
SA,European Shag,Farne Islands,non-breeding season (September to January),UK SW North Sea and Channel waters,0.7,0.6
SA,European Shag,Farne Islands,non-breeding season (September to January),UK Wales and SW England waters,0,0
SA,European Shag,Farne Islands,non-breeding season (September to January),UK West of Scotland waters,0,0
SA,European Shag,Forth Islands,non-breeding season (September to January),UK NW North Sea,1,0.9
SA,European Shag,Forth Islands,non-breeding season (September to January),UK SW North Sea and Channel waters,0,0.1
SA,European Shag,Forth Islands,non-breeding season (September to January),UK Wales and SW England waters,0,0
SA,European Shag,Forth Islands,non-breeding season (September to January),UK West of Scotland waters,0,0
SA,European Shag,Foula,non-breeding season (September to January),UK NW North Sea,1,1
SA,European Shag,Foula,non-breeding season (September to January),UK SW North Sea and Channel waters,0,0
SA,European Shag,Foula,non-breeding season (September to January),UK Wales and SW England waters,0,0
SA,European Shag,Foula,non-breeding season (September to January),UK West of Scotland waters,0,0
SA,European Shag,Hermaness; Saxavord,non-breeding season (September to January),UK NW North Sea,1,1
SA,European Shag,Hermaness; Saxavord,non-breeding season (September to January),UK SW North Sea and Channel waters,0,0
SA,European Shag,Hermaness; Saxavord,non-breeding season (September to January),UK Wales and SW England waters,0,0
SA,European Shag,Hermaness; Saxavord,non-breeding season (September to January),UK West of Scotland waters,0,0
SA,European Shag,Ireland,non-breeding season (September to January),UK NW North Sea,0,0
SA,European Shag,Ireland,non-breeding season (September to January),UK SW North Sea and Channel waters,0,0
SA,European Shag,Ireland,non-breeding season (September to January),UK Wales and SW England waters,0,0.03
SA,European Shag,Ireland,non-breeding season (September to January),UK West of Scotland waters,0,0.01
SA,European Shag,Isles of Scilly,non-breeding season (September to January),UK NW North Sea,0,0
SA,European Shag,Isles of Scilly,non-breeding season (September to January),UK SW North Sea and Channel waters,0,0
SA,European Shag,Isles of Scilly,non-breeding season (September to January),UK Wales and SW England waters,1,1
SA,European Shag,Isles of Scilly,non-breeding season (September to January),UK West of Scotland waters,0,0
SA,European Shag,Mingulay and  Berneray,non-breeding season (September to January),UK NW North Sea,0,0
SA,European Shag,Mingulay and  Berneray,non-breeding season (September to January),UK SW North Sea and Channel waters,0,0
SA,European Shag,Mingulay and  Berneray,non-breeding season (September to January),UK Wales and SW England waters,0,0
SA,European Shag,Mingulay and  Berneray,non-breeding season (September to January),UK West of Scotland waters,1,1
SA,European Shag,Shiant Islands,non-breeding season (September to January),UK NW North Sea,0,0
SA,European Shag,Shiant Islands,non-breeding season (September to January),UK SW North Sea and Channel waters,0,0
SA,European Shag,Shiant Islands,non-breeding season (September to January),UK Wales and SW England waters,0,0
SA,European Shag,Shiant Islands,non-breeding season (September to January),UK West of Scotland waters,1,1
SA,European Shag,St Abbs Head to Fast Castle,non-breeding season (September to January),UK NW North Sea,1,0.8
SA,European Shag,St Abbs Head to Fast Castle,non-breeding season (September to January),UK SW North Sea and Channel waters,0,0.2
SA,European Shag,St Abbs Head to Fast Castle,non-breeding season (September to January),UK Wales and SW England waters,0,0
SA,European Shag,St Abbs Head to Fast Castle,non-breeding season (September to January),UK West of Scotland waters,0,0
SA,European Shag,Sule Skerry and  Sule Stack,non-breeding season (September to January),UK NW North Sea,0,0
SA,European Shag,Sule Skerry and  Sule Stack,non-breeding season (September to January),UK SW North Sea and Channel waters,0,0
SA,European Shag,Sule Skerry and  Sule Stack,non-breeding season (September to January),UK Wales and SW England waters,0,0
SA,European Shag,Sule Skerry and  Sule Stack,non-breeding season (September to January),UK West of Scotland waters,1,1
SA,European Shag,UK NW N Sea non-SPA,non-breeding season (September to January),UK NW North Sea,1,1
SA,European Shag,UK NW N Sea non-SPA,non-breeding season (September to January),UK SW North Sea and Channel waters,0,0
SA,European Shag,UK NW N Sea non-SPA,non-breeding season (September to January),UK Wales and SW England waters,0,0
SA,European Shag,UK NW N Sea non-SPA,non-breeding season (September to January),UK West of Scotland waters,0,0
SA,European Shag,UK SW N Sea non-SPA,non-breeding season (September to January),UK NW North Sea,0,0
SA,European Shag,UK SW N Sea non-SPA,non-breeding season (September to January),UK SW North Sea and Channel waters,1,1
SA,European Shag,UK SW N Sea non-SPA,non-breeding season (September to January),UK Wales and SW England waters,0,0
SA,European Shag,UK SW N Sea non-SPA,non-breeding season (September to January),UK West of Scotland waters,0,0
SA,European Shag,UK Wales and  SW E non-SPA,non-breeding season (September to January),UK NW North Sea,0,0
SA,European Shag,UK Wales and  SW E non-SPA,non-breeding season (September to January),UK SW North Sea and Channel waters,0,0
SA,European Shag,UK Wales and  SW E non-SPA,non-breeding season (September to January),UK Wales and SW England waters,1,1
SA,European Shag,UK Wales and  SW E non-SPA,non-breeding season (September to January),UK West of Scotland waters,0,0
SA,European Shag,UK West of Scotland non-SPA,non-breeding season (September to January),UK SW North Sea and Channel waters,0,0
SA,European Shag,UK West of Scotland non-SPA,non-breeding season (September to January),UK Wales and SW England waters,0,0
SA,European Shag,UK West of Scotland non-SPA,non-breeding season (September to January),UK West of Scotland waters,1,1
SA,European Shag,UK West of Scotld non-SPA,non-breeding season (September to January),UK NW North Sea,0,0
GB,Great Black-backed Gull,Barents Sea,non-breeding season (September to March),UK North Sea waters,0.3,0.5
GB,Great Black-backed Gull,Barents Sea,non-breeding season (September to March),UK south-west and Channel waters,0,0.02
GB,Great Black-backed Gull,Barents Sea,non-breeding season (September to March),UK west of Scotland waters,0.01,0.08
GB,Great Black-backed Gull,Calf of Eday,non-breeding season (September to March),UK North Sea waters,1,1
GB,Great Black-backed Gull,Calf of Eday,non-breeding season (September to March),UK south-west and Channel waters,0,0
GB,Great Black-backed Gull,Calf of Eday,non-breeding season (September to March),UK west of Scotland waters,0,0
GB,Great Black-backed Gull,Copinsay,non-breeding season (September to March),UK North Sea waters,1,1
GB,Great Black-backed Gull,Copinsay,non-breeding season (September to March),UK south-west and Channel waters,0,0
GB,Great Black-backed Gull,Copinsay,non-breeding season (September to March),UK west of Scotland waters,0,0
GB,Great Black-backed Gull,East Caithness Cliffs,non-breeding season (September to March),UK North Sea waters,1,1
GB,Great Black-backed Gull,East Caithness Cliffs,non-breeding season (September to March),UK south-west and Channel waters,0,0
GB,Great Black-backed Gull,East Caithness Cliffs,non-breeding season (September to March),UK west of Scotland waters,0,0
GB,Great Black-backed Gull,Faroe,non-breeding season (September to March),UK North Sea waters,0.3,0.3
GB,Great Black-backed Gull,Faroe,non-breeding season (September to March),UK south-west and Channel waters,0,0.2
GB,Great Black-backed Gull,Faroe,non-breeding season (September to March),UK west of Scotland waters,0.1,0.3
GB,Great Black-backed Gull,Hoy,non-breeding season (September to March),UK North Sea waters,1,1
GB,Great Black-backed Gull,Hoy,non-breeding season (September to March),UK south-west and Channel waters,0,0
GB,Great Black-backed Gull,Hoy,non-breeding season (September to March),UK west of Scotland waters,0,0
GB,Great Black-backed Gull,Ireland,non-breeding season (September to March),UK North Sea waters,0,0
GB,Great Black-backed Gull,Ireland,non-breeding season (September to March),UK south-west and Channel waters,0.1,0.3
GB,Great Black-backed Gull,Ireland,non-breeding season (September to March),UK west of Scotland waters,0.1,0.2
GB,Great Black-backed Gull,Isles of Scilly,non-breeding season (September to March),UK North Sea waters,0.01,0.1
GB,Great Black-backed Gull,Isles of Scilly,non-breeding season (September to March),UK south-west and Channel waters,0.9,0.7
GB,Great Black-backed Gull,Isles of Scilly,non-breeding season (September to March),UK west of Scotland waters,0,0
GB,Great Black-backed Gull,North Rona and  Sula Sgeir,non-breeding season (September to March),UK North Sea waters,0.01,0.1
GB,Great Black-backed Gull,North Rona and  Sula Sgeir,non-breeding season (September to March),UK south-west and Channel waters,0,0.1
GB,Great Black-backed Gull,North Rona and  Sula Sgeir,non-breeding season (September to March),UK west of Scotland waters,0.99,0.8
GB,Great Black-backed Gull,UK North Sea non-SPA colonies,non-breeding season (September to March),UK North Sea waters,1,1
GB,Great Black-backed Gull,UK North Sea non-SPA colonies,non-breeding season (September to March),UK south-west and Channel waters,0,0
GB,Great Black-backed Gull,UK North Sea non-SPA colonies,non-breeding season (September to March),UK west of Scotland waters,0,0
